ticker,event_time,event_type,summary,event_subtype,event_family,source_type,source_url,release_session,expectedness,surprise_direction,surprise_magnitude,materiality,sector_benchmark,notes,corpus_name,review_status,evidence_status,label_quality,source_doc_ids,government_contract_event_type,actual_funded_award_flag,ceiling_only_flag,new_work_flag,modification_flag,option_exercise_flag,recipient_mapping_confidence,award_amount,obligated_amount,contract_ceiling,agency,product_or_service_description,materiality_pre_price,drop_reason,review_notes,usable_fact_count,agency_confidence,agency_evidence,task_order_number,task_order_number_confidence,task_order_number_evidence,award_amount_confidence,award_amount_evidence,award_type,award_type_confidence,award_type_evidence,contract_number,contract_number_confidence,contract_number_evidence,contract_type,contract_type_confidence,contract_type_evidence,obligated_amount_confidence,obligated_amount_evidence,mapping_type,mapping_type_confidence,mapping_type_evidence,mapped_ticker,mapped_ticker_confidence,mapped_ticker_evidence,naics_code,naics_code_confidence,naics_code_evidence,recipient_mapping_confidence_confidence,recipient_mapping_confidence_evidence,recipient_name,recipient_name_confidence,recipient_name_evidence,product_or_service_description_confidence,product_or_service_description_evidence,period_of_performance_start,period_of_performance_start_confidence,period_of_performance_start_evidence,prime_or_sub,prime_or_sub_confidence,prime_or_sub_evidence,period_of_performance_end,period_of_performance_end_confidence,period_of_performance_end_evidence,parent_company_name,parent_company_name_confidence,parent_company_name_evidence,sub_agency,sub_agency_confidence,sub_agency_evidence,subsidiary_name,subsidiary_name_confidence,subsidiary_name_evidence,psc_code,psc_code_confidence,psc_code_evidence,government_contract_event_type_confidence,government_contract_event_type_evidence,actual_funded_award_flag_confidence,actual_funded_award_flag_evidence,incumbent_or_extension_flag,incumbent_or_extension_flag_confidence,incumbent_or_extension_flag_evidence,ceiling_only_flag_confidence,ceiling_only_flag_evidence,modification_flag_confidence,modification_flag_evidence,new_work_flag_confidence,new_work_flag_evidence,new_vs_modification,new_vs_modification_confidence,new_vs_modification_evidence,materiality_context_required_flag,materiality_context_required_flag_confidence,materiality_context_required_flag_evidence,option_exercise_flag_confidence,option_exercise_flag_evidence,recompete_or_extension_flag,recompete_or_extension_flag_confidence,recompete_or_extension_flag_evidence,prime_contractor_flag,prime_contractor_flag_confidence,prime_contractor_flag_evidence,subcontractor_flag,subcontractor_flag_confidence,subcontractor_flag_evidence,parser_quality_flags,parser_quality_flags_confidence,parser_quality_flags_evidence,model_eligible_candidate_flag,modification_number,modification_number_confidence,modification_number_evidence,contract_ceiling_confidence,contract_ceiling_evidence,price_anchor_date,last_close_before_event,market_cap_before_event,revenue_ltm_if_available,award_amount_pct_market_cap,obligated_amount_pct_market_cap,contract_ceiling_pct_market_cap,award_amount_pct_revenue,obligated_amount_pct_revenue,contract_ceiling_pct_revenue,pre_event_return_20d,pre_event_benchmark_return_20d,pre_event_market_adjusted_return_20d,pre_event_return_60d,pre_event_benchmark_return_60d,pre_event_market_adjusted_return_60d,company_size_bucket,small_cap_flag,government_contract_context_status,audit_bucket,audit_model_eligible_flag,audit_timestamp_suitable_flag,audit_public_awareness_evidence_status,audit_recipient_mapping_correct_flag,audit_funded_vs_ceiling_correct_flag,public_announcement_time,public_announcement_source_type,public_announcement_source_url,public_announcement_link_confidence,public_awareness_event_key,duplicate_group_id,duplicate_status,model_eligible_public_announcement_flag
AVAV,2024-09-04T16:10:00-04:00,government_contract,AVAV task order award candidate from source document.,task_order_award,government_contract_awards,investor_relations,https://investor.avinc.com/news-releases/news-release-details/aerovironment-announces-fiscal-2025-first-quarter-results,after_close,unknown,unknown,medium,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_W91CRB24F0412_9700_W91CRB24D0011_9700,task_order_award,True,False,True,False,False,0.95,128018635.6,128018635.6,,Department of Defense,"DELIVERY ORDER TO PURCHASE ALL UP ROUNDS, FIRE CONTROL SYSTEMS AND SMART BATTERY CHARGERS",,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,W91CRB24F0412,0.9,W91CRB24F0412,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W91CRB24F0412,0.9,W91CRB24F0412,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.9,source metadata,"AEROVIRONMENT, INC",0.9,"AEROVIRONMENT, INC",0.9,"DELIVERY ORDER TO PURCHASE ALL UP ROUNDS, FIRE CONTROL SYSTEMS AND SMART BATTERY CHARGERS",2024-08-30,0.9,2024-08-30,prime,0.9,prime,2026-04-30,0.9,2026-04-30,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1425,0.9,1425,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-08-30,203.759994506836,5732555566.576081,,0.0223318612638346,0.0223318612638346,,,,,0.2237837507918076,0.0577593931256048,0.1660243576662028,-0.0031799282991444,0.0576590829762491,-0.0608390112753935,mid_cap,False,ok,,,,,,,2024-09-04T16:10:00-04:00,investor_relations,https://investor.avinc.com/news-releases/news-release-details/aerovironment-announces-fiscal-2025-first-quarter-results,0.84,AVAV:W91CRB24F0412,AVAV_W91CRB24F0412,primary,True
AVAV,2025-01-13T16:10:00-05:00,government_contract,AVAV task order award candidate from source document.,task_order_award,government_contract_awards,investor_relations,https://investor.avinc.com/news-releases/news-release-details/av-announces-second-delivery-order-990-million-contract-us-army,after_close,unknown,unknown,medium,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_W91CRB25F0067_9700_W91CRB24D0011_9700,task_order_award,True,False,True,False,False,0.95,55484704.02,55484704.02,,Department of Defense,"DELIVERY ORDER TO PURCHASE 330 SWITCHBLADE 600 ALL-UP ROUNDS WITH SELECTIVE AVAILABILITY ANTI-SPOOFING MODULE, COLOR-TAN.",,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,W91CRB25F0067,0.9,W91CRB25F0067,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W91CRB25F0067,0.9,W91CRB25F0067,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.9,source metadata,"AEROVIRONMENT, INC",0.9,"AEROVIRONMENT, INC",0.9,"DELIVERY ORDER TO PURCHASE 330 SWITCHBLADE 600 ALL-UP ROUNDS WITH SELECTIVE AVAILABILITY ANTI-SPOOFING MODULE, COLOR-TAN.",2024-12-17,0.9,2024-12-17,prime,0.9,prime,2026-07-31,0.9,2026-07-31,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1425,0.9,1425,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-12-17,164.0399932861328,4626644009.279633,,0.0119924299143644,0.0119924299143644,,,,,-0.1676054843989786,0.0274417338510972,-0.1950472182500758,-0.1978484435885925,0.0607718965627805,-0.2586203401513731,mid_cap,False,ok,,,,,,,2025-01-13T16:10:00-05:00,investor_relations,https://investor.avinc.com/news-releases/news-release-details/av-announces-second-delivery-order-990-million-contract-us-army,0.9,AVAV:W91CRB25F0067,AVAV_W91CRB25F0067,primary,True
AVAV,2025-02-03T17:00:00-05:00,government_contract,AVAV task order award candidate from source document.,task_order_award,government_contract_awards,investor_relations,https://investor.avinc.com/news-releases/news-release-details/av-secures-288-million-delivery-order-990-million-contract-us,after_close,unknown,unknown,medium,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_W91CRB25F0094_9700_W91CRB24D0011_9700,task_order_award,True,False,True,False,False,0.95,218119135.12,218119135.12,,Department of Defense,"LOITERED MUNITIONS, SWITCHBLADE 300 AND 600 ALL UP ROUNDS",,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,W91CRB25F0094,0.9,W91CRB25F0094,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,W91CRB25F0094,0.9,W91CRB25F0094,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,336411,0.9,336411,0.9,source metadata,"AEROVIRONMENT, INC",0.9,"AEROVIRONMENT, INC",0.9,"LOITERED MUNITIONS, SWITCHBLADE 300 AND 600 ALL UP ROUNDS",2025-01-18,0.9,2025-01-18,prime,0.9,prime,2026-10-30,0.9,2026-10-30,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Army,0.9,Department of the Army,,,,1425,0.9,1425,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2025-01-17,168.74000549316406,4759204873.77121,,0.0458310034775119,0.0458310034775119,,,,,0.0286516239904561,-0.007775552330193,0.0364271763206491,-0.2347738891810955,0.027348211862016,-0.2621221010431116,mid_cap,False,ok,,,,,,,2025-02-03T17:00:00-05:00,investor_relations,https://investor.avinc.com/news-releases/news-release-details/av-secures-288-million-delivery-order-990-million-contract-us,0.87,AVAV:W91CRB25F0094,AVAV_W91CRB25F0094,primary,True
BKSY,2024-03-13T08:30:00-04:00,government_contract,BKSY new contract award candidate from source document.,new_contract_award,government_contract_awards,company_press_release,https://www.nasdaq.com/press-release/blacksky-wins-competitive-%2424-million-air-force-research-laboratory-contract-for,before_open,unknown,unknown,low,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_FA945324C0001_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.94,3538098.0,3538098.0,,Department of Defense,BLACKSKY GLOBAL MOVING TARGET ENGAGEMENT,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",31,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,FA945324C0001,0.9,FA945324C0001,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,BKSY,0.9,BKSY,541715,0.9,541715,0.9,source metadata,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",0.9,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",0.9,BLACKSKY GLOBAL MOVING TARGET ENGAGEMENT,2024-03-15,0.9,2024-03-15,prime,0.9,prime,2026-04-04,0.9,2026-04-04,BlackSky Technology Inc.,0.9,BlackSky Technology Inc.,Department of the Air Force,0.9,Department of the Air Force,,,,AC22,0.9,AC22,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-03-15,10.079999923706056,1441314019.3309195,,0.0024547724871519,0.0024547724871519,,,,,-0.1870967553383842,0.0187327424474343,-0.2058294977858186,-0.0078740083570404,0.0835732072968813,-0.0914472156539217,small_cap,True,ok,,,,,,,2024-03-13T08:30:00-04:00,company_press_release,https://www.nasdaq.com/press-release/blacksky-wins-competitive-%2424-million-air-force-research-laboratory-contract-for,0.92,BKSY:FA945324C0001,BKSY_FA945324C0001,primary,True
HII,2021-02-19T17:00:00-05:00,government_contract,HII new contract award candidate from source document.,new_contract_award,government_contract_awards,dod_contract_announcement,https://www.defense.gov/News/Contracts/Contract/Article/2509592/,after_close,unknown,unknown,high,0.7,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N0002421C2106_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.95,3368736971.67,3368736971.67,,Department of Defense,FY21 RCOH ACCOMPLISHMENT,,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.,31,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,N0002421C2106,0.9,N0002421C2106,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,HII,0.9,HII,336611,0.9,336611,0.9,source metadata,HUNTINGTON INGALLS INC,0.9,HUNTINGTON INGALLS INC,0.9,FY21 RCOH ACCOMPLISHMENT,2021-02-19,0.9,2021-02-19,prime,0.9,prime,2026-10-06,0.9,2026-10-06,"Huntington Ingalls Industries, Inc.",0.9,"Huntington Ingalls Industries, Inc.",Department of the Navy,0.9,Department of the Navy,,,,1905,0.9,1905,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2021-02-19,162.19708251953125,6539260848.640137,,0.5151556192120003,0.5151556192120003,,,,,0.0913175163488475,0.0150684448830804,0.0762490714657671,0.155054095410382,0.1023346292326232,0.0527194661777588,mid_cap,False,ok,new_funded_awards,False,False,usaspending_record_only_not_market_timestamp,True,True,2021-02-19T17:00:00-05:00,dod_contract_announcement,https://www.defense.gov/News/Contracts/Contract/Article/2509592/,0.83,HII:N0002421C2106,HII_N0002421C2106,primary,True
KTOS,2023-02-23T16:15:00-05:00,government_contract,KTOS new contract award candidate from source document.,new_contract_award,government_contract_awards,company_press_release,https://www.globenewswire.com/news-release/2023/02/23/2614841/224/en/Naval-Air-Systems-Command-Awards-Kratos-Sole-Source-49-6-Million-Initial-Contract-for-Full-Rate-Production-Lot-4-of-the-BQM-177A-Subsonic-Aerial-Target-System.html,after_close,unknown,unknown,medium,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N0001923C0021_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.94,238798157.3,238798157.3,,Department of Defense,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",31,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,N0001923C0021,0.9,N0001923C0021,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,KTOS,0.9,KTOS,336411,0.9,336411,0.9,source metadata,"KRATOS UNMANNED AERIAL SYSTEMS, INC",0.9,"KRATOS UNMANNED AERIAL SYSTEMS, INC",0.9,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,2023-01-31,0.9,2023-01-31,prime,0.9,prime,2028-07-31,0.9,2028-07-31,"Kratos Defense & Security Solutions, Inc.",0.9,"Kratos Defense & Security Solutions, Inc.",Department of the Navy,0.9,Department of the Navy,,,,1550,0.9,1550,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2023-01-31,11.449999809265137,1442207477.1256113,,0.1655782271881825,0.1655782271881825,,,,,0.1094961383581865,0.0628873689936657,0.0466087693645207,0.0621521421976212,0.0893018104673064,-0.0271496682696852,small_cap,True,ok,,,,,,,2023-02-23T16:15:00-05:00,company_press_release,https://www.globenewswire.com/news-release/2023/02/23/2614841/224/en/Naval-Air-Systems-Command-Awards-Kratos-Sole-Source-49-6-Million-Initial-Contract-for-Full-Rate-Production-Lot-4-of-the-BQM-177A-Subsonic-Aerial-Target-System.html,0.86,KTOS:N0001923C0021,KTOS_N0001923C0021,primary,True
LUNR,2024-09-17T16:40:09-04:00,government_contract,LUNR new contract award candidate from source document.,new_contract_award,government_contract_awards,sec_8k,https://investors.intuitivemachines.com/node/8936/html,after_close,unknown,unknown,medium,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_80GSFC24CA018_8000_NONE_NONE_,new_contract_award,True,False,True,False,False,0.94,27000000.0,27000000.0,,National Aeronautics and Space Administration,NEAR SPACE NETWORK (NSN) SERVICES (SUBCATEGORY 2.2 GEO TO CIS-LUNAR RELAY),,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",31,0.9,National Aeronautics and Space Administration,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,80GSFC24CA018,0.9,80GSFC24CA018,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,LUNR,0.9,LUNR,517410,0.9,517410,0.9,source metadata,"INTUITIVE MACHINES, LLC",0.9,"INTUITIVE MACHINES, LLC",0.9,NEAR SPACE NETWORK (NSN) SERVICES (SUBCATEGORY 2.2 GEO TO CIS-LUNAR RELAY),2024-10-01,0.9,2024-10-01,prime,0.9,prime,2029-09-30,0.9,2029-09-30,"Intuitive Machines, Inc.",0.9,"Intuitive Machines, Inc.",National Aeronautics and Space Administration,0.9,National Aeronautics and Space Administration,,,,DG10,0.9,DG10,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-10-01,7.570000171661377,637186270.939177,,0.0423737943383549,0.0423737943383549,,,,,0.4557693171783343,0.0331187007992674,0.4226506163790668,1.062670303621832,0.0271649010332077,1.035505402588624,small_cap,True,ok,,,,,,,2024-09-17T16:40:09-04:00,sec_8k,https://investors.intuitivemachines.com/node/8936/html,0.88,LUNR:80GSFC24CA018,LUNR_80GSFC24CA018,primary,True
LUNR,2024-08-29T16:21:00-04:00,government_contract,LUNR task order award candidate from source document.,task_order_award,government_contract_awards,investor_relations,https://investors.intuitivemachines.com/news-releases/news-release-details/intuitive-machines-strengthens-lunar-service-capabilities-1169/,after_close,unknown,unknown,medium,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_80JSC024F0079_8000_80HQTR19D0010_8000,task_order_award,True,False,True,False,False,0.94,88031400.0,88031400.0,,National Aeronautics and Space Administration,COMMERCIAL LUNAR PAYLOAD SERVICES (CLPS),,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,National Aeronautics and Space Administration,80JSC024F0079,0.9,80JSC024F0079,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,80JSC024F0079,0.9,80JSC024F0079,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,LUNR,0.9,LUNR,481212,0.9,481212,0.9,source metadata,"INTUITIVE MACHINES, LLC",0.9,"INTUITIVE MACHINES, LLC",0.9,COMMERCIAL LUNAR PAYLOAD SERVICES (CLPS),2024-08-29,0.9,2024-08-29,prime,0.9,prime,2028-08-31,0.9,2028-08-31,"Intuitive Machines, Inc.",0.9,"Intuitive Machines, Inc.",National Aeronautics and Space Administration,0.9,National Aeronautics and Space Administration,,,,AR14,0.9,AR14,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-08-29,4.820000171661377,405711739.189177,,0.21698016472467,0.21698016472467,,,,,0.2751323301966153,0.028249848708661,0.2468824814879542,-0.0163265147242932,0.060109510098731,-0.0764360248230242,small_cap,True,ok,,,,,,,2024-08-29T16:21:00-04:00,investor_relations,https://investors.intuitivemachines.com/news-releases/news-release-details/intuitive-machines-strengthens-lunar-service-capabilities-1169/,0.91,LUNR:80JSC024F0079,LUNR_80JSC024F0079,primary,True
RDW,2024-12-10T07:32:00-05:00,government_contract,RDW new contract award candidate from source document.,new_contract_award,government_contract_awards,company_press_release,https://www.streetinsider.com/Corporate+News/Redwire+Corporation+%28RDW%29+Awarded+%2445+Million+Contract+from+Air+Force+Research+Laboratory+to+Advance+Enhanced+Space-Based+Capabilities+for+the+Warfighter/24085109.html,before_open,unknown,unknown,low,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_FA945324CX039_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.84,15367849.73,15367849.73,,Department of Defense,"STAR - ADVANCED LABORATORIES, ALGORITHMS, COLLABORATIVE RESEARCH AND DEVELOPMENT INNOVATIONS, AND TECHNOLOGY (ALACRITY)",,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,FA945324CX039,0.9,FA945324CX039,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,known_subsidiary,0.9,known_subsidiary,RDW,0.9,RDW,541715,0.9,541715,0.9,source metadata,"LOADPATH, LLC",0.9,"LOADPATH, LLC",0.9,"STAR - ADVANCED LABORATORIES, ALGORITHMS, COLLABORATIVE RESEARCH AND DEVELOPMENT INNOVATIONS, AND TECHNOLOGY (ALACRITY)",2024-09-24,0.9,2024-09-24,prime,0.9,prime,2029-12-31,0.9,2029-12-31,Redwire Corporation,0.9,Redwire Corporation,Department of the Air Force,0.9,Department of the Air Force,LoadPath,0.9,LoadPath,AC12,0.9,AC12,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-09-24,6.389999866485596,266833972.0681734,,0.0575933027226146,0.0575933027226146,,,,,-0.0779220743476534,0.0218661184347608,-0.0997881927824142,-0.1087866389830666,0.0529789107403759,-0.1617655497234426,small_cap,True,ok,,,,,,,2024-12-10T07:32:00-05:00,company_press_release,https://www.streetinsider.com/Corporate+News/Redwire+Corporation+%28RDW%29+Awarded+%2445+Million+Contract+from+Air+Force+Research+Laboratory+to+Advance+Enhanced+Space-Based+Capabilities+for+the+Warfighter/24085109.html,0.82,RDW:FA945324CX039,RDW_FA945324CX039,primary,True
RKLB,2024-04-08T18:30:00-04:00,government_contract,RKLB task order award candidate from source document.,task_order_award,government_contract_awards,company_press_release,https://www.nasdaq.com/press-release/u.s.-space-force-awards-rocket-lab-launch-contract-for-space-test-program-stp-s30,after_close,unknown,unknown,low,0.5,,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_FA881824FB016_9700_FA881820D0008_9700,task_order_award,True,False,True,False,False,0.95,14496100.0,14496100.0,,Department of Defense,THE OBJECTIVE OF THE STP-S30 MISSION IS TO DELIVER SCIENTIFIC RESEARCH AND DEVELOPMENT EXPERIMENTS TO SPACE THAT MATURE EXISTING CAPABILITIES AND DEMONSTRATE NEXT-GENERATION TECHNOLOGY IN THE SPACE DOMAIN TO ENSURE A FUTURE OF SPACE DOMINANCE.,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,FA881824FB016,0.9,FA881824FB016,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,FA881824FB016,0.9,FA881824FB016,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,RKLB,0.9,RKLB,481212,0.9,481212,0.9,source metadata,ROCKET LAB USA INC,0.9,ROCKET LAB USA INC,0.9,THE OBJECTIVE OF THE STP-S30 MISSION IS TO DELIVER SCIENTIFIC RESEARCH AND DEVELOPMENT EXPERIMENTS TO SPACE THAT MATURE EXISTING CAPABILITIES AND DEMONSTRATE NEXT-GENERATION TECHNOLOGY IN THE SPACE DOMAIN TO ENSURE A FUTURE OF SPACE DOMINANCE.,2024-04-08,0.9,2024-04-08,prime,0.9,prime,2026-05-08,0.9,2026-05-08,"Rocket Lab USA, Inc.",0.9,"Rocket Lab USA, Inc.",Department of the Air Force,0.9,Department of the Air Force,,,,V126,0.9,V126,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-04-08,3.7699999809265137,1844059340.140387,,0.0078609726294905,0.0078609726294905,,,,,-0.1470588425673602,0.0168287185651478,-0.1638875611325081,-0.2940075143819083,0.0918489948863261,-0.3858565092682344,small_cap,True,ok,,,,,,,2024-04-08T18:30:00-04:00,company_press_release,https://www.nasdaq.com/press-release/u.s.-space-force-awards-rocket-lab-launch-contract-for-space-test-program-stp-s30,0.92,RKLB:FA881824FB016,RKLB_FA881824FB016,primary,True
