event_id,ticker,event_time,event_type,summary,event_subtype,source_type,source_url,release_session,expectedness,surprise_direction,surprise_magnitude,materiality,sector_benchmark,notes
demo_001,ACME,2021-09-01T16:10:00,earnings,"Synthetic earnings event for ACME; direction=positive, magnitude=medium.",quarterly_results,synthetic_demo,,after_close,partial_surprise,positive,medium,0.25,XLK,Synthetic row. Do not use for financial conclusions.
demo_002,BETA,2021-10-01T08:05:00,guidance,"Synthetic guidance event for BETA; direction=mixed, magnitude=low.",revenue_guidance,synthetic_demo,,before_open,surprise,mixed,low,0.45,XLK,Synthetic row. Do not use for financial conclusions.
demo_003,OMEGA,2021-11-02T12:30:00,regulatory,"Synthetic regulatory event for OMEGA; direction=positive, magnitude=high.",agency_action,synthetic_demo,,intraday,surprise,positive,high,0.7,XLK,Synthetic row. Do not use for financial conclusions.
demo_004,ACME,2021-12-02T16:10:00,product,"Synthetic product event for ACME; direction=mixed, magnitude=medium.",launch_or_delay,synthetic_demo,,after_close,surprise,mixed,medium,0.9,XLK,Synthetic row. Do not use for financial conclusions.
demo_005,BETA,2022-01-03T08:05:00,security,"Synthetic security event for BETA; direction=positive, magnitude=low.",incident,synthetic_demo,,before_open,partial_surprise,positive,low,0.25,XLK,Synthetic row. Do not use for financial conclusions.
demo_006,OMEGA,2022-02-02T12:30:00,filing,"Synthetic filing event for OMEGA; direction=mixed, magnitude=high.",8-k,synthetic_demo,,intraday,surprise,mixed,high,0.45,XLK,Synthetic row. Do not use for financial conclusions.
demo_007,ACME,2022-03-04T16:10:00,earnings,"Synthetic earnings event for ACME; direction=positive, magnitude=medium.",quarterly_results,synthetic_demo,,after_close,surprise,positive,medium,0.7,XLK,Synthetic row. Do not use for financial conclusions.
demo_008,BETA,2022-04-05T08:05:00,guidance,"Synthetic guidance event for BETA; direction=neutral, magnitude=low.",revenue_guidance,synthetic_demo,,before_open,surprise,neutral,low,0.9,XLK,Synthetic row. Do not use for financial conclusions.
demo_009,OMEGA,2022-05-05T12:30:00,regulatory,"Synthetic regulatory event for OMEGA; direction=negative, magnitude=high.",agency_action,synthetic_demo,,intraday,partial_surprise,negative,high,0.25,XLK,Synthetic row. Do not use for financial conclusions.
demo_010,ACME,2022-06-06T16:10:00,product,"Synthetic product event for ACME; direction=neutral, magnitude=medium.",launch_or_delay,synthetic_demo,,after_close,surprise,neutral,medium,0.45,XLK,Synthetic row. Do not use for financial conclusions.
demo_011,BETA,2022-07-06T08:05:00,security,"Synthetic security event for BETA; direction=negative, magnitude=low.",incident,synthetic_demo,,before_open,surprise,negative,low,0.7,XLK,Synthetic row. Do not use for financial conclusions.
