event_id,fact_name,expected_value,unit,tolerance,expected_present,gold_category,source_evidence_text,review_status,review_notes
ALNY_8-K_2023-10-10_0001193125-23-253084,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,"issued a press release, which is attached hereto as Exhibit 99.1 and is incorporated by reference, announcing receipt of a Complete Response Letter from the United States Food and Drug Administration in regard to the Company’s supplemental new drug application for patisiran, an investigational RNAi therapeutic for the treatment of the cardiomyopathy of transthyretin-mediated (ATTR) amyloidosis",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
INCY_8-K_2026-03-06_0000879169-26-000013,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,Food and Drug Administration (“FDA”) issued a Complete Response Letter (“CRL”) for the supplemental Biologics License Application (“sBLA”) for Zynyz® (retifanlimab-dlwr) injection (375mg) for an additional indication for the treatment of adult patients with metastatic non-small cell lung cancer (“NSCLC”) in combination with platinum-based chemotherapy,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
OMER_8-K_2021-10-18_0001558370-21-013245,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,"On October 18, 2021, the Company issued a press release announcing the receipt of a complete response letter from the U",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
RARE_8-K_2025-07-11_0000950170-25-095334,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,Food and Drug Administration (the “FDA”) has issued a Complete Response Letter (“CRL”) for its Biologics License Application (“BLA”) for UX111 (ABO-102) AAV gene therapy as a treatment for patients with Sanfilippo syndrome type A (MPS IIIA),rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
RARE_8-K_2026-01-30_0001193125-26-030590,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,"The resubmitted BLA includes comprehensive responses to chemistry, manufacturing, and controls (CMC)-related observations outlined in a Complete Response Letter (the “CRL”) issued in July 2025, as well as additional long-term clinical data from current patients as requested by the Agency in the CRL",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
RCKT_8-K_2024-06-28_0001140361-24-031749,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,Food and Drug Administration (FDA) has issued a Complete Response Letter (CRL) in response to Rocket’s Biologics License Application for KRESLADI™ wherein the FDA requested limited,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
REGN_8-K_2023-01-09_0001104659-23-002091,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,ƒ Bayer pozelimab + cemdisiran ‡ (C5xC5) Phase 1 Phase 2 Phase 3 Approved As of January 2023 Regeneron received a CRL in December 2022 for the REGEN - COV BLA,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
REGN_8-K_2024-01-08_0001104659-24-002037,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,"launch of EYLEA HD • Two - year data for PHOTON (DME) and PULSAR (wAMD) studies Dupixent • sBLA acceptance for CSU • EC decision on pediatric AD (6mo – 5yr) • Report data for Phase 3 study in Type 2 COPD • sBLA acceptance for pediatric EoE • FDA decision on CSU – received CRL Veopoz (anti - C5 antibody) • FDA acceptance of CHAPLE BLA • FDA decision on CHAPLE (PDUFA August 20, 2023) x x x x x x x x x x",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
RGNX_8-K_2026-02-10_0001193125-26-043342,event_type,fda_complete_response_letter,category,,True,fda_regulatory_decision,"(the “Company”) announced that it received a Complete Response Letter (""CRL"") from the U",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ABBV_8-K_2024-02-12_0001104659-24-013692,event_type,fda_approval,category,,True,fda_regulatory_decision,FDA-approved test,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ALNY_8-K_2022-06-14_0001193125-22-173444,event_type,fda_approval,category,,True,fda_regulatory_decision,– First and Only FDA-approved Treatment Demonstrating Reversal in Neuropathy Impairment with,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ALNY_8-K_2025-03-21_0001178670-25-000038,event_type,fda_approval,category,,True,fda_regulatory_decision,"The approval expands the indication for AMVUTTRA, which now becomes the first and only therapeutic approved by the FDA for the treatment of ATTR-CM and the polyneuropathy of hereditary transthyretin-mediated amyloidosis (hATTR-PN) in adults",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
APLS_8-K_2026-03-31_0001193125-26-134916,event_type,fda_approval,category,,True,fda_regulatory_decision,"Acquisition will bring two differentiated commercialized immunology medicines to Biogen with EMPAVELI® FDA-approved in three indications, including two rare kidney diseases, and SYFOVRE® FDA-approved in geographic atrophy, an immune-mediated retinal disease",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ARWR_8-K_2025-09-11_0000879407-25-000007,event_type,fda_approval,category,,True,fda_regulatory_decision,"26. In December 2024, FDA approved Ionis’s drug Tryngolza® (olezarsen) for adults with FCS",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ARWR_8-K_2025-09-12_0000879407-25-000010,event_type,fda_approval,category,,True,fda_regulatory_decision,"In December 2024, the United States Food and Drug Administration (“FDA”) approved Tryngolza® (olezarsen), Ionis’s next-generation product, for the treatment of adults living with FCS",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ALNY_8-K_2020-08-06_0001157523-20-001145,event_type,phase_3_readout,category,,True,phase_2_3_readout,"Continued treating patients in ILLUMINATE-B, a global Phase 3 pediatric study of lumasiran in PH1 patients less than six years of age with preserved renal function, and remains on track to report topline results in mid-2020.",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ALNY_8-K_2021-08-03_0001193125-21-234071,event_type,phase_3_readout,category,,True,phase_2_3_readout,Presented positive results from the Phase 3b open-label study in,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ALNY_8-K_2021-10-28_0001193125-21-310422,event_type,phase_3_readout,category,,True,phase_2_3_readout,"hypothesis-generating data ahead of upcoming readouts from the APOLLO-B and HELIOS-B Phase 3 studies of patisiran and vutrisiran, respectively,” said John",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
APLS_8-K_2021-09-09_0001193125-21-268814,event_type,phase_3_readout,category,,True,phase_2_3_readout,"Monthly and every-other-month treatment with pegcetacoplan met the primary endpoint in OAKS, significantly reducing GA lesion growth by 22% (p=0.0003) and 16% (p=0.0052), respectively, compared to pooled sham at 12 months",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
APLS_8-K_2024-08-08_0001193125-24-196465,event_type,phase_3_readout,category,,True,phase_2_3_readout,"(“Apellis”) and Sobi® announced positive topline results from the Phase 3 VALIANT study investigating systemic pegcetacoplan in patients with C3 glomerulopathy (C3G) or primary immune complex membranoproliferative glomerulonephritis (IC-MPGN), which are rare kidney diseases with no approved treatments",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2024-01-04_0000950170-24-001488,event_type,phase_3_readout,category,,True,phase_2_3_readout,"2024 anticipated clinical trial readouts include topline results of the SYMPHONY trial in narcolepsy, ADVANCE-2 trial in Alzheimer’s disease agitation, and the FOCUS Phase 3 trial in ADHD",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2024-03-25_0000950170-24-035655,event_type,phase_3_readout,category,,True,phase_2_3_readout,"AXS-12 statistically significantly reduced cataplexy attacks compared to placebo (p=0.018, primary endpoint)",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2024-11-12_0000950170-24-124546,event_type,phase_3_readout,category,,True,phase_2_3_readout,Topline results of ADVANCE-2 and ACCORD-2 Phase 3 trials of AXS-05 in Alzheimer’s disease agitation on track for 4Q 2024,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2024-11-26_0000950170-24-130755,event_type,phase_3_readout,category,,True,phase_2_3_readout,"AXS-12 statistically significantly reduced the frequency of cataplexy attacks compared to placebo (p=0.017, primary endpoint)",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2024-12-30_0000950170-24-140949,event_type,phase_3_readout,category,,True,phase_2_3_readout,"The ACCORD-2 Phase 3 trial achieved the primary endpoint with AXS-05 statistically significantly delaying the time to relapse of agitation, assessed by the Cohen-Mansfield Agitation Inventory (CMAI) total score, in patients with Alzheimer’s disease compared to placebo (hazard ratio for time to relapse of 0.276, p=0.001), demonstrating a 3.6-fold lower risk of relapse compared to placebo",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2025-03-03_0000950170-25-030395,event_type,phase_3_readout,category,,True,phase_2_3_readout,"AXS-05 demonstrated statistically significant improvement in Alzheimer’s disease agitation, assessed using the Cohen-Mansfield Agitation Inventory (CMAI), compared to placebo, in three Phase 3 efficacy trials: the ADVANCE-1 parallel-group trial (p=0.010), the ACCORD-1 randomized withdrawal trial (p=0.014), and the ACCORD-2 randomized withdrawal trial (p=0.001)",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2025-03-25_0000950170-25-044096,event_type,phase_3_readout,category,,True,phase_2_3_readout,"Demonstrated substantial and statistically significant improvement in ADHD symptoms as measured by the AISRS total score compared to placebo (p=0.039, primary endpoint, 150 mg solriamfetol)",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
AXSM_8-K_2025-04-01_0000950170-25-048036,event_type,phase_3_readout,category,,True,phase_2_3_readout,Axsome Therapeutics Announces Topline Results of PARADIGM Phase 3 Proof-of-Concept Trial of Solriamfetol in Major Depressive Disorder (MDD) with and without Excessive Daytime Sleepiness (EDS),rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
BIIB_8-K_2026-05-14_0001193125-26-222908,event_type,phase_3_readout,category,,True,phase_2_3_readout,"medical infrastructure to accelerate Biogen’s launch readiness for felzartamab, with a first Phase 3 readout in antibody-mediated rejection in kidney transplant patients anticipated in the first half of 2027.",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
BMY_8-K_2023-04-27_0000014272-23-000102,event_type,phase_3_readout,category,,True,phase_2_3_readout,Positive results from Phase 3 KarMMa-3 Study showed Abecma reduced the risk of disease progression or death by 51% versus standard regimens in earlier lines of therapy for relapsed and refractory multiple myeloma,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
BEAM_8-K_2022-08-01_0000950170-22-013559,event_type,trial_halt,category,,True,trial_halt_failure_safety,Food and Drug Administration (“FDA”) that the BEAM-201 investigational new drug (“IND”) application for the treatment of relapsed/refractory T-cell acute lymphoblastic leukemia (“T-ALL”)/T cell lymphoblastic lymphoma (“T-LL”) has been placed on clinical hold,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
BEAM_8-K_2022-08-30_0000950170-22-017868,event_type,trial_halt,category,,True,trial_halt_failure_safety,"Food and Drug Administration (FDA), that the BEAM-201 Investigational New Drug (IND) application for the treatment of relapsed/refractory T-cell acute lymphoblastic leukemia/T-cell lymphoblastic lymphoma had been placed on clinical hold",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
IOVA_8-K_2023-12-27_0001104659-23-129751,event_type,trial_halt,category,,True,trial_halt_failure_safety,"Food and Drug Administration (FDA) placed a clinical hold on the IOV-LUN-202 trial on December 22, 2023, in response to a recently",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
IOVA_8-K_2024-03-04_0001104659-24-030249,event_type,trial_halt,category,,True,trial_halt_failure_safety,clinical hold placed on the registrational IOV-LUN-202 trial investigating LN-145 TIL cell therapy in non-small cell lung cancer (NSCLC),rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
KURA_8-K_2021-11-24_0001193125-21-339334,event_type,trial_halt,category,,True,trial_halt_failure_safety,Food and Drug Administration (the “FDA”) has placed the KOMET-001 Phase 1b study of KO-539 in patients with relapsed or refractory acute myeloid leukemia (“AML”) on a partial clinical hold,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
NTLA_8-K_2025-10-29_0001193125-25-256378,event_type,trial_halt,category,,True,trial_halt_failure_safety,"On October 29, 2025, the United States Food and Drug Administration (the “FDA”) verbally informed the Company that the FDA has placed a clinical hold on the Investigational New Drug applications for the MAGNITUDE and MAGNITUDE-2 Phase 3 clinical trials for nexiguran ziclumeran (“nex-z”)",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
NTLA_8-K_2026-01-09_0001193125-26-008307,event_type,trial_halt,category,,True,trial_halt_failure_safety,"This case met the trial’s protocol-defined pausing criteria, and the United States Food and Drug Administration (the “FDA”) subsequently placed a clinical hold on the Investigational New Drug applications for the MAGNITUDE and MAGNITUDE-2 Phase 3 clinical trials of nex-z",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
NTLA_8-K_2026-01-27_0001193125-26-023387,event_type,trial_halt,category,,True,trial_halt_failure_safety,(the “Company” or “Intellia”) issued a press release titled “Intellia Therapeutics Announces FDA Lift of Clinical Hold on MAGNITUDE-2 Phase 3 Clinical Trial in ATTRv-PN,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
NTLA_8-K_2026-03-02_0001193125-26-084309,event_type,trial_halt,category,,True,trial_halt_failure_safety,"On March 2, 2026, Intellia issued a press release titled “Intellia Therapeutics Announces FDA Lift of Clinical Hold on MAGNITUDE Phase 3 Clinical Trial in ATTR-CM",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
NVAX_8-K_2024-10-16_0001104659-24-108950,event_type,trial_halt,category,,True,trial_halt_failure_safety,(“FDA”) notified Novavax that the FDA has placed a clinical hold on Novavax’s Investigational New Drug Application (“IND”),rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
BMY_8-K_2024-04-25_0000014272-24-000094,event_type,accelerated_approval,category,,True,designation_priority_accelerated,"The FDA granted accelerated approval of Breyanzi for the treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia or small lymphocytic lymphoma who have received at least two prior lines of therapy, including a Bruton tyrosine kinase inhibitor and a B-cell lymphoma 2 inhibitor",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
RARE_8-K_2026-04-02_0001193125-26-139084,event_type,accelerated_approval,category,,True,designation_priority_accelerated,Food and Drug Administration (the “FDA”) has accepted for review the Company’s resubmitted Biologics License Application seeking accelerated approval for UX111 (rebisufligene etisparvovec) AAV9 gene therapy as a treatment for patients with Sanfilippo syndrome Type A (MPS IIIA),rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
RGNX_8-K_2025-08-07_0001193125-25-174947,event_type,accelerated_approval,category,,True,designation_priority_accelerated,Food and Drug Administration (FDA) granted priority review of the BLA seeking accelerated approval for clemidsogene lanparvovec for MPS II,rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
ZYME_8-K_2024-05-02_0001937653-24-000027,event_type,accelerated_approval,category,,True,designation_priority_accelerated,"•In April 2024, our partner Jazz announced the completion of the rolling BLA submission to the FDA seeking accelerated approval for zanidatamab as a treatment for previously-treated, unresectable locally advanced, or metastatic HER2-positive BTC",rule_reviewed,Agent 3C rule-reviewed gold row from source evidence; no stock movement used.
