ticker,event_time,event_type,summary,event_subtype,event_family,source_type,source_url,release_session,expectedness,surprise_direction,surprise_magnitude,materiality,sector_benchmark,notes,corpus_name,review_status,evidence_status,label_quality,source_doc_ids,government_contract_event_type,actual_funded_award_flag,ceiling_only_flag,new_work_flag,modification_flag,option_exercise_flag,recipient_mapping_confidence,award_amount,obligated_amount,contract_ceiling,agency,product_or_service_description,materiality_pre_price,drop_reason,review_notes,usable_fact_count,agency_confidence,agency_evidence,task_order_number,task_order_number_confidence,task_order_number_evidence,award_amount_confidence,award_amount_evidence,award_type,award_type_confidence,award_type_evidence,contract_number,contract_number_confidence,contract_number_evidence,contract_type,contract_type_confidence,contract_type_evidence,obligated_amount_confidence,obligated_amount_evidence,mapping_type,mapping_type_confidence,mapping_type_evidence,mapped_ticker,mapped_ticker_confidence,mapped_ticker_evidence,naics_code,naics_code_confidence,naics_code_evidence,recipient_mapping_confidence_confidence,recipient_mapping_confidence_evidence,recipient_name,recipient_name_confidence,recipient_name_evidence,product_or_service_description_confidence,product_or_service_description_evidence,period_of_performance_start,period_of_performance_start_confidence,period_of_performance_start_evidence,prime_or_sub,prime_or_sub_confidence,prime_or_sub_evidence,period_of_performance_end,period_of_performance_end_confidence,period_of_performance_end_evidence,parent_company_name,parent_company_name_confidence,parent_company_name_evidence,sub_agency,sub_agency_confidence,sub_agency_evidence,subsidiary_name,subsidiary_name_confidence,subsidiary_name_evidence,psc_code,psc_code_confidence,psc_code_evidence,government_contract_event_type_confidence,government_contract_event_type_evidence,actual_funded_award_flag_confidence,actual_funded_award_flag_evidence,incumbent_or_extension_flag,incumbent_or_extension_flag_confidence,incumbent_or_extension_flag_evidence,ceiling_only_flag_confidence,ceiling_only_flag_evidence,modification_flag_confidence,modification_flag_evidence,new_work_flag_confidence,new_work_flag_evidence,new_vs_modification,new_vs_modification_confidence,new_vs_modification_evidence,materiality_context_required_flag,materiality_context_required_flag_confidence,materiality_context_required_flag_evidence,option_exercise_flag_confidence,option_exercise_flag_evidence,recompete_or_extension_flag,recompete_or_extension_flag_confidence,recompete_or_extension_flag_evidence,prime_contractor_flag,prime_contractor_flag_confidence,prime_contractor_flag_evidence,subcontractor_flag,subcontractor_flag_confidence,subcontractor_flag_evidence,parser_quality_flags,parser_quality_flags_confidence,parser_quality_flags_evidence,model_eligible_candidate_flag,modification_number,modification_number_confidence,modification_number_evidence,contract_ceiling_confidence,contract_ceiling_evidence,price_anchor_date,last_close_before_event,market_cap_before_event,revenue_ltm_if_available,award_amount_pct_market_cap,obligated_amount_pct_market_cap,contract_ceiling_pct_market_cap,award_amount_pct_revenue,obligated_amount_pct_revenue,contract_ceiling_pct_revenue,pre_event_return_20d,pre_event_benchmark_return_20d,pre_event_market_adjusted_return_20d,pre_event_return_60d,pre_event_benchmark_return_60d,pre_event_market_adjusted_return_60d,company_size_bucket,small_cap_flag,government_contract_context_status,audit_bucket,audit_model_eligible_flag,audit_timestamp_suitable_flag,audit_public_awareness_evidence_status,audit_recipient_mapping_correct_flag,audit_funded_vs_ceiling_correct_flag,event_id,public_announcement_time,public_announcement_source_type,public_announcement_source_url,public_announcement_link_confidence,public_awareness_event_key,duplicate_group_id,duplicate_status,model_eligible_public_announcement_flag,small_mid_cap_flag,large_prime_flag,large_prime_low_materiality_flag,obligated_materiality_bucket,award_materiality_bucket,pre_event_runup_positive_flag,material_award_1pct_flag,material_award_5pct_flag,original_event_id
HII,2021-03-22T22:00:00,placebo,Placebo non-event control for government_contract_HII_N0002421C2106,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N0002421C2106_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.95,3368736971.67,3368736971.67,,Department of Defense,FY21 RCOH ACCOMPLISHMENT,,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.,31,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,N0002421C2106,0.9,N0002421C2106,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,HII,0.9,HII,336611,0.9,336611,0.9,source metadata,HUNTINGTON INGALLS INC,0.9,HUNTINGTON INGALLS INC,0.9,FY21 RCOH ACCOMPLISHMENT,2021-02-19,0.9,2021-02-19,prime,0.9,prime,2026-10-06,0.9,2026-10-06,"Huntington Ingalls Industries, Inc.",0.9,"Huntington Ingalls Industries, Inc.",Department of the Navy,0.9,Department of the Navy,,,,1905,0.9,1905,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2021-02-19,162.19708251953125,6539260848.640137,,0.5151556192120003,0.5151556192120003,,,,,0.0913175163488475,0.0150684448830804,0.0762490714657671,0.155054095410382,0.1023346292326232,0.0527194661777588,mid_cap,False,ok,new_funded_awards,False,False,usaspending_record_only_not_market_timestamp,True,True,government_contract_HII_N0002421C2106__placebo01,2021-02-19T17:00:00-05:00,dod_contract_announcement,https://www.defense.gov/News/Contracts/Contract/Article/2509592/,0.83,HII:N0002421C2106,HII_N0002421C2106,primary,True,True,True,False,gte_5pct,gte_5pct,True,True,True,government_contract_HII_N0002421C2106
KTOS,2023-03-27T21:15:00,placebo,Placebo non-event control for government_contract_KTOS_N0001923C0021,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N0001923C0021_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.94,238798157.3,238798157.3,,Department of Defense,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",31,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,N0001923C0021,0.9,N0001923C0021,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,KTOS,0.9,KTOS,336411,0.9,336411,0.9,source metadata,"KRATOS UNMANNED AERIAL SYSTEMS, INC",0.9,"KRATOS UNMANNED AERIAL SYSTEMS, INC",0.9,SUBSONIC AERIAL TARGET (SSAT) BQM-177A FULL RATE PRODUCTION,2023-01-31,0.9,2023-01-31,prime,0.9,prime,2028-07-31,0.9,2028-07-31,"Kratos Defense & Security Solutions, Inc.",0.9,"Kratos Defense & Security Solutions, Inc.",Department of the Navy,0.9,Department of the Navy,,,,1550,0.9,1550,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2023-01-31,11.449999809265137,1442207477.1256113,,0.1655782271881825,0.1655782271881825,,,,,0.1094961383581865,0.0628873689936657,0.0466087693645207,0.0621521421976212,0.0893018104673064,-0.0271496682696852,small_cap,True,ok,,,,,,,government_contract_KTOS_N0001923C0021__placebo01,2023-02-23T16:15:00-05:00,company_press_release,https://www.globenewswire.com/news-release/2023/02/23/2614841/224/en/Naval-Air-Systems-Command-Awards-Kratos-Sole-Source-49-6-Million-Initial-Contract-for-Full-Rate-Production-Lot-4-of-the-BQM-177A-Subsonic-Aerial-Target-System.html,0.86,KTOS:N0001923C0021,KTOS_N0001923C0021,primary,True,True,False,False,gte_5pct,gte_5pct,True,True,True,government_contract_KTOS_N0001923C0021
BKSY,2024-04-12T12:30:00,placebo,Placebo non-event control for government_contract_BKSY_FA945324C0001,non_event_control,placebo_control,placebo,,before_open,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_FA945324C0001_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.94,3538098.0,3538098.0,,Department of Defense,BLACKSKY GLOBAL MOVING TARGET ENGAGEMENT,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",31,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,FA945324C0001,0.9,FA945324C0001,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,BKSY,0.9,BKSY,541715,0.9,541715,0.9,source metadata,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",0.9,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",0.9,BLACKSKY GLOBAL MOVING TARGET ENGAGEMENT,2024-03-15,0.9,2024-03-15,prime,0.9,prime,2026-04-04,0.9,2026-04-04,BlackSky Technology Inc.,0.9,BlackSky Technology Inc.,Department of the Air Force,0.9,Department of the Air Force,,,,AC22,0.9,AC22,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-03-15,10.079999923706056,1441314019.3309195,,0.0024547724871519,0.0024547724871519,,,,,-0.1870967553383842,0.0187327424474343,-0.2058294977858186,-0.0078740083570404,0.0835732072968813,-0.0914472156539217,small_cap,True,ok,,,,,,,government_contract_BKSY_FA945324C0001__placebo01,2024-03-13T08:30:00-04:00,company_press_release,https://www.nasdaq.com/press-release/blacksky-wins-competitive-%2424-million-air-force-research-laboratory-contract-for,0.92,BKSY:FA945324C0001,BKSY_FA945324C0001,primary,True,True,False,False,lt_0_5pct,lt_0_5pct,False,False,False,government_contract_BKSY_FA945324C0001
RKLB,2024-05-08T22:30:00,placebo,Placebo non-event control for government_contract_RKLB_FA881824FB016,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_FA881824FB016_9700_FA881820D0008_9700,task_order_award,True,False,True,False,False,0.95,14496100.0,14496100.0,,Department of Defense,THE OBJECTIVE OF THE STP-S30 MISSION IS TO DELIVER SCIENTIFIC RESEARCH AND DEVELOPMENT EXPERIMENTS TO SPACE THAT MATURE EXISTING CAPABILITIES AND DEMONSTRATE NEXT-GENERATION TECHNOLOGY IN THE SPACE DOMAIN TO ENSURE A FUTURE OF SPACE DOMINANCE.,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,FA881824FB016,0.9,FA881824FB016,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,FA881824FB016,0.9,FA881824FB016,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,RKLB,0.9,RKLB,481212,0.9,481212,0.9,source metadata,ROCKET LAB USA INC,0.9,ROCKET LAB USA INC,0.9,THE OBJECTIVE OF THE STP-S30 MISSION IS TO DELIVER SCIENTIFIC RESEARCH AND DEVELOPMENT EXPERIMENTS TO SPACE THAT MATURE EXISTING CAPABILITIES AND DEMONSTRATE NEXT-GENERATION TECHNOLOGY IN THE SPACE DOMAIN TO ENSURE A FUTURE OF SPACE DOMINANCE.,2024-04-08,0.9,2024-04-08,prime,0.9,prime,2026-05-08,0.9,2026-05-08,"Rocket Lab USA, Inc.",0.9,"Rocket Lab USA, Inc.",Department of the Air Force,0.9,Department of the Air Force,,,,V126,0.9,V126,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-04-08,3.7699999809265137,1844059340.140387,,0.0078609726294905,0.0078609726294905,,,,,-0.1470588425673602,0.0168287185651478,-0.1638875611325081,-0.2940075143819083,0.0918489948863261,-0.3858565092682344,small_cap,True,ok,,,,,,,government_contract_RKLB_FA881824FB016__placebo01,2024-04-08T18:30:00-04:00,company_press_release,https://www.nasdaq.com/press-release/u.s.-space-force-awards-rocket-lab-launch-contract-for-space-test-program-stp-s30,0.92,RKLB:FA881824FB016,RKLB_FA881824FB016,primary,True,True,False,False,0_5pct_to_1pct,0_5pct_to_1pct,False,False,False,government_contract_RKLB_FA881824FB016
LMT,2024-06-17T21:00:00,placebo,Placebo non-event control for government_contract_LMT_W31P4Q23C0008,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_W31P4Q23C0008_9700_NONE_NONE_,new_contract_award,True,False,True,False,False,0.96,488807890.77,488807890.77,,Department of Defense,"THIS UCA IS FOR A PARTIAL STATEMENT OF WORK (SOW) SCOPE LIMITED TO PROCURING LONG LEAD ITEMS (LLI), PROGRAM MANAGEMENT, AND SYSTEMS ENGINEERING ASSOCIATED WITH BATTERY 2 FOR A SIX-MONTH PERIOD OF PERFORMANCE.",,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",31,0.9,Department of Defense,,,,0.9,source metadata,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,W31P4Q23C0008,0.9,W31P4Q23C0008,DEFINITIVE CONTRACT,0.9,DEFINITIVE CONTRACT,0.9,source metadata,exact_public_company,0.9,exact_public_company,LMT,0.9,LMT,541330,0.9,541330,0.9,source metadata,LOCKHEED MARTIN CORPORATION,0.9,LOCKHEED MARTIN CORPORATION,0.9,"THIS UCA IS FOR A PARTIAL STATEMENT OF WORK (SOW) SCOPE LIMITED TO PROCURING LONG LEAD ITEMS (LLI), PROGRAM MANAGEMENT, AND SYSTEMS ENGINEERING ASSOCIATED WITH BATTERY 2 FOR A SIX-MONTH PERIOD OF PERFORMANCE.",2023-02-28,0.9,2023-02-28,prime,0.9,prime,2028-02-28,0.9,2028-02-28,Lockheed Martin Corporation,0.9,Lockheed Martin Corporation,Department of the Army,0.9,Department of the Army,,,,1440,0.9,1440,0.76,contract award language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2023-02-28,437.5226440429688,111698348837.98572,,0.0043761424931983,0.0043761424931983,,,,,0.0361621084807606,-0.0108088924151401,0.0469710008959007,-0.01637301518965,-0.0235488290419711,0.0071758138523211,large_cap,False,ok,,,,,,,government_contract_LMT_W31P4Q23C0008__placebo01,2024-05-17T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3779333/contracts-for-may-17-2024/,0.84,LMT:W31P4Q23C0008,LMT_W31P4Q23C0008,primary,True,False,True,True,lt_0_5pct,lt_0_5pct,True,False,False,government_contract_LMT_W31P4Q23C0008
LHX,2024-07-01T21:00:00,placebo,Placebo non-event control for government_contract_LHX_FA862024FB061,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_FA862024FB061_9700_FA862021G4027_9700,task_order_award,True,False,True,False,False,0.96,46690970.0,46690970.0,,Department of Defense,BIG SAFARI,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,FA862024FB061,0.9,FA862024FB061,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,FA862024FB061,0.9,FA862024FB061,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,LHX,0.9,LHX,336413,0.9,336413,0.9,source metadata,L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,0.9,L3HARRIS TECHNOLOGIES INTEGRATED SYSTEMS L.P.,0.9,BIG SAFARI,2024-06-04,0.9,2024-06-04,prime,0.9,prime,2026-12-31,0.9,2026-12-31,"L3Harris Technologies, Inc.",0.9,"L3Harris Technologies, Inc.",Defense Contract Management Agency,0.9,Defense Contract Management Agency,,,,1510,0.9,1510,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-06-04,219.51541137695312,41637760938.4361,,0.0011213612102974,0.0011213612102974,,,,,0.0610300002743631,0.0228817292796281,0.0381482709947349,0.0617714334299097,0.035784596177119,0.0259868372527907,large_cap,False,ok,,,,,,,government_contract_LHX_FA862024FB061__placebo01,2024-05-31T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3793219/contracts-for-may-31-2024/,0.84,LHX:FA862024FB061,LHX_FA862024FB061,primary,True,False,True,True,lt_0_5pct,lt_0_5pct,True,False,False,government_contract_LHX_FA862024FB061
BA,2024-07-11T21:02:31,placebo,Placebo non-event control for government_contract_BA_N0001921F0886,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N0001921F0886_9700_N0001921G0006_9700,task_order_award,True,False,True,False,False,0.94,322206546.56,322206546.56,,Department of Defense,MISSILE NRE,,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,N0001921F0886,0.9,N0001921F0886,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,N0001921F0886,0.9,N0001921F0886,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,BA,0.9,BA,336412,0.9,336412,0.9,source metadata,THE BOEING COMPANY,0.9,THE BOEING COMPANY,0.9,MISSILE NRE,2021-09-30,0.9,2021-09-30,prime,0.9,prime,2027-11-12,0.9,2027-11-12,The Boeing Company,0.9,The Boeing Company,Department of the Navy,0.9,Department of the Navy,,,,1410,0.9,1410,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2021-09-30,219.94000244140625,128918251196.79492,,0.0024993090083742,0.0024993090083742,,,,,0.0083440645743684,-0.0471118935404621,0.0554559581148306,-0.0510829079310022,-0.0090806317611767,-0.0420022761698254,large_cap,False,ok,,,,,,,government_contract_BA_N0001921F0886__placebo01,2024-06-11T17:02:31-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3803321/contracts-for-jun-11-2024/,0.84,BA:N0001921F0886,BA_N0001921F0886,primary,True,False,True,True,lt_0_5pct,lt_0_5pct,True,False,False,government_contract_BA_N0001921F0886
AVAV,2024-07-17T21:00:00,placebo,Placebo non-event control for government_contract_AVAV_N6833524F0079,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N6833524F0079_9700_N6833519G0059_9700,sbir_award,True,False,True,False,False,0.95,5548479.0,5548479.0,,Department of Defense,SBIR PHASE III R&D,,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.,32,0.9,Department of Defense,N6833524F0079,0.9,N6833524F0079,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,N6833524F0079,0.9,N6833524F0079,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,AVAV,0.9,AVAV,541715,0.9,541715,0.9,source metadata,"AEROVIRONMENT, INC",0.9,"AEROVIRONMENT, INC",0.9,SBIR PHASE III R&D,2024-06-12,0.9,2024-06-12,prime,0.9,prime,2026-06-30,0.9,2026-06-30,"AeroVironment, Inc.",0.9,"AeroVironment, Inc.",Department of the Navy,0.9,Department of the Navy,,,,AC13,0.9,AC13,0.9,SBIR language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-06-12,217.57000732421875,6121491852.452271,,0.0009063932671538,0.0009063932671538,,,,,0.1199938920854983,0.0345118236826578,0.0854820684028405,0.5071349847903612,0.0555705973660318,0.4515643874243293,mid_cap,False,ok,sbir_sttr_ota,False,False,usaspending_record_only_not_market_timestamp,True,True,government_contract_AVAV_N6833524F0079__placebo01,2024-06-17T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3809606/contracts-for-jun-17-2024/,0.84,AVAV:N6833524F0079,AVAV_N6833524F0079,primary,True,True,False,False,lt_0_5pct,lt_0_5pct,True,False,False,government_contract_AVAV_N6833524F0079
BA,2024-07-24T21:00:00,placebo,Placebo non-event control for government_contract_BA_N0038324FYY1T,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N0038324FYY1T_9700_N0038322GYY01_9700,task_order_award,True,False,True,False,False,0.94,135002240.0,135002240.0,,Department of Defense,"ACTUATOR,MECHANICAL",,,"Review recipient mapping, funded-vs-ceiling value, timestamp source, and whether this is new work before modeling.",32,0.9,Department of Defense,N0038324FYY1T,0.9,N0038324FYY1T,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,N0038324FYY1T,0.9,N0038324FYY1T,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,BA,0.9,BA,336413,0.9,336413,0.9,source metadata,THE BOEING COMPANY,0.9,THE BOEING COMPANY,0.9,"ACTUATOR,MECHANICAL",2024-06-24,0.9,2024-06-24,prime,0.9,prime,2032-12-31,0.9,2032-12-31,The Boeing Company,0.9,The Boeing Company,Department of the Navy,0.9,Department of the Navy,,,,1560,0.9,1560,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2024-06-24,179.10000610351562,109946668265.25195,,0.0012278884129012,0.0012278884129012,,,,,0.0400092858778897,0.0352326607542599,0.0047766251236298,-0.0669444701694444,0.040753449479034,-0.1076979196484785,large_cap,False,ok,,,,,,,government_contract_BA_N0038324FYY1T__placebo01,2024-06-24T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3815586/contracts-for-jun-24-2024/,0.84,BA:N0038324FYY1T,BA_N0038324FYY1T,primary,True,False,True,True,lt_0_5pct,lt_0_5pct,True,False,False,government_contract_BA_N0038324FYY1T
BA,2024-07-29T21:00:00,placebo,Placebo non-event control for government_contract_BA_N0001922F0030,non_event_control,placebo_control,placebo,,after_close,unknown,unknown,unknown,0.0,SPY,"Government-contract parser candidate; not model-ready until review, mapping audit, parser audit, and context gates pass.",government_contract_awards,approved,public_announcement_linked,public_announcement_validated,usaspending_CONT_AWD_N0001922F0030_9700_N0001921G0006_9700,task_order_award,True,False,True,False,False,0.94,1553797869.15,1553797869.15,,Department of Defense,"HARPOON COASTAL DEFENSE SYSTEM FOR LAUNCHER TRANSPORTER UNITS (LTUS), RADAR UNITS (RUS) AND TRAINING EQUIPMENT.",,timestamp_public_awareness_insufficient,Reviewed against structured official source fields and recipient map. USAspending-only rows are not market-public timestamps.,32,0.9,Department of Defense,N0001922F0030,0.9,N0001922F0030,0.9,source metadata,DELIVERY ORDER,0.9,DELIVERY ORDER,N0001922F0030,0.9,N0001922F0030,DELIVERY ORDER,0.9,DELIVERY ORDER,0.9,source metadata,exact_public_company,0.9,exact_public_company,BA,0.9,BA,336412,0.9,336412,0.9,source metadata,THE BOEING COMPANY,0.9,THE BOEING COMPANY,0.9,"HARPOON COASTAL DEFENSE SYSTEM FOR LAUNCHER TRANSPORTER UNITS (LTUS), RADAR UNITS (RUS) AND TRAINING EQUIPMENT.",2022-03-02,0.9,2022-03-02,prime,0.9,prime,2029-03-31,0.9,2029-03-31,The Boeing Company,0.9,The Boeing Company,Department of the Navy,0.9,Department of the Navy,,,,1410,0.9,1410,0.88,task/delivery order language,0.78,derived parser flag,False,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,0.78,derived parser flag,new_work,0.78,derived parser taxonomy,True,0.78,derived parser flag,0.78,derived parser flag,False,0.78,derived parser flag,True,0.78,derived parser flag,False,0.78,derived parser flag,[],0.7,,True,,,,,,2022-03-02,197.8099975585937,115323182091.31071,,0.0134734217437716,0.0134734217437716,,,,,-0.0505423776729799,-0.0332486533976118,-0.0172937242753681,-0.0034259051627352,-0.0308580104649515,0.0274321053022162,large_cap,False,ok,task_orders,False,False,usaspending_record_only_not_market_timestamp,True,True,government_contract_BA_N0001922F0030__placebo01,2024-06-27T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3819954/contracts-for-jun-27-2024/,0.84,BA:N0001922F0030,BA_N0001922F0030,primary,True,False,True,False,1pct_to_2pct,1pct_to_2pct,False,True,False,government_contract_BA_N0001922F0030
