event_id,ticker,reaction_start,biotech_catalyst_event_type,drug_asset,indication,trial_name,nct_id,duplicate_key,same_key_event_count,source_doc_count,source_types,source_mirror_flag,prior_announcement_language_flag,conference_publication_language_flag,pipeline_or_investor_deck_language_flag,explicit_result_language_flag,duplicate_type,duplicate_risk_level,duplicate_findings
EXEL_8-K_2020-04-20_0000939767-20-000051,EXEL,2020-04-20,pivotal_trial_readout,,previously untreated advanced or metastatic renal cell carcinoma,The,,EXEL|2020-04-20|pivotal_trial_readout|the,1,1,sec_primary_filing,False,False,False,False,False,none,low,none
TGTX_8-K_2020-05-05_0001558370-20-005097,TGTX,2020-05-05,phase_3_readout,Umbralisib,patients with chronic lymphocytic leukemia,UNITY-CLL,,TGTX|2020-05-05|phase_3_readout|unity cll,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
RGNX_8-K_2020-10-27_0001193125-20-277495,RGNX,2020-10-27,fda_approval,Receive,pediatric patients with SMA,,,RGNX|2020-10-27|fda_approval|receive,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
TGTX_8-K_2021-02-08_0001558370-21-000791,TGTX,2021-02-08,fda_approval,UKONIQ,MZL and orphan drug designation (ODD) for the treatment of MZL and FL,UNITY-NHL,NCT02793583,TGTX|2021-02-08|fda_approval|nct02793583,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
AUPH_8-K_2021-02-24_0001628280-21-003067,AUPH,2021-02-25,fda_approval,EX-99,LN in the European Union (EU),,,AUPH|2021-02-25|fda_approval|ex 99,1,5,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
RCKT_8-K_2021-05-10_0001140361-21-016639,RCKT,2021-05-11,trial_halt,RP-A501,Danon Disease Placed on Clinical Hold To Address FDA Request For Additional Risk Mitigation Methods in Protocol,RP-A501,,RCKT|2021-05-11|trial_halt|rp a501,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
XENE_8-K_2021-08-23_0001564590-21-045346,XENE,2021-08-23,phase_3_readout,Xenon,,,,XENE|2021-08-23|phase_3_readout|xenon,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
EDIT_8-K_2021-09-29_0001558370-21-012862,EDIT,2021-09-29,safety_signal,EDIT-101,blindness due to Leber congenital amaurosis 10 (“LCA10”),BRILLIANCE,,EDIT|2021-09-29|safety_signal|brilliance,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
XENE_8-K_2021-10-04_0001564590-21-049880,XENE,2021-10-04,phase_3_readout,XEN1101,Focal Epilepsy All Primary and Secondary Seizure Reduction Endpoints Statistically Significant Across All Dose Groups,The,,XENE|2021-10-04|phase_3_readout|the,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
CRSP_8-K_2021-10-12_0001193125-21-296954,CRSP,2021-10-13,phase_1_readout,CTX110TM,relapsed or refractory B-cell malignancies,CARBON,NCT04035434,CRSP|2021-10-13|phase_1_readout|nct04035434,1,3,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
